datetime,latitude,longitude,depth,latitude_err,longitude_err,depth_err,type,deep_nest,comments,day,month
1970-03-29 21:28:00.000,,,,,,,Deep Moonquake,4,,1970-03-29,1970-03
1970-03-29 22:40:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-03-29,1970-03
1970-03-30 10:35:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-03-30,1970-03
1970-03-30 11:57:00.000,50.2,60.2,908.0,2.9,12.0,37.0,Deep Moonquake,44,,1970-03-30,1970-03
1970-03-30 12:51:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-03-30,1970-03
1970-03-30 17:40:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-30,1970-03
1970-03-30 21:48:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-03-30,1970-03
1970-03-30 23:27:00.000,,,,,,,Deep Moonquake,304,,1970-03-30,1970-03
1970-03-31 11:18:00.000,,,,,,,,,,1970-03-31,1970-03
1970-03-31 16:39:00.000,-25.2,-37.6,928.0,0.9,1.2,13.0,Deep Moonquake,14,"The source position is decided by (Khan and Mosegaard, 2002)",1970-03-31,1970-03
1970-04-01 00:28:00.000,,,,,,,,,,1970-04-01,1970-04
1970-04-01 01:30:00.000,,,,,,,,,,1970-04-01,1970-04
1970-04-01 03:00:00.000,,,,,,,,,,1970-04-01,1970-04
1970-04-01 06:11:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-04-01,1970-04
1970-04-01 08:09:00.000,-50.7,-21.4,933.0,7.9,5.5,109.0,Deep Moonquake,224,(*) The source depth is assumed to be 933km,1970-04-01,1970-04
1970-04-01 09:52:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-04-01,1970-04
1970-04-01 12:03:00.000,,,,,,,,,,1970-04-01,1970-04
1970-04-02 17:03:00.000,30.1,53.2,975.0,2.9,9.8,24.0,Deep Moonquake,64,,1970-04-02,1970-04
1970-04-03 10:49:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-04-03,1970-04
1970-04-04 20:53:00.000,,,,,,,,,,1970-04-04,1970-04
1970-04-05 11:37:00.000,,,,,,,Meteoroid Impact,,,1970-04-05,1970-04
1970-04-05 23:47:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-04-05,1970-04
